Title,PMID,ISSN
"Revista brasileira de psiquiatria (Sao Paulo, Brazil : 1999)",23904013,1809-452X
"International journal of health services : planning, administration, evaluation",24066414,0020-7314
Maternal and child health journal,24091886,1573-6628
Canadian journal of psychiatry. Revue canadienne de psychiatrie,24099501,0706-7437
Obstetrics and gynecology,24104785,1873-233X
Current opinion in obstetrics & gynecology,24126788,1473-656X
Ontario health technology assessment series,24133570,1915-7398
Current opinion in gastroenterology,24241244,1531-7056
Journal of the American Academy of Child and Adolescent Psychiatry,24290453,1527-5418
Inhalation toxicology,24304307,1091-7691
Clinical pharmacology and therapeutics,24352148,1532-6535
Zhonghua yi xue za zhi,24360097,0376-2491
Journal of global health,24363911,2047-2978
Annual review of food science and technology,24422587,1941-1413
Global cardiology science & practice,24689009,2305-7823
World journal of clinical pediatrics,25254169,2219-2808
Global heart,25689944,2211-8160
Revista colombiana de psiquiatria,26572711,0034-7450
Journal of health services research & policy,27552774,1758-1060
Indian journal of plastic surgery : official publication of the Association of Plastic Surgeons of India,19884687,1998-376X
Journal of telemedicine and telecare,20008052,1758-1109
Zhongguo ji sheng chong xue yu ji sheng chong bing za zhi = Chinese journal of parasitology & parasitic diseases,20066983,1000-7423
Annals of emergency medicine,20138398,1097-6760
"Journal of mental health (Abingdon, England)",20380494,0963-8237
Proceedings of the American Thoracic Society,20427578,1943-5665
Statistical methods in medical research,20442195,1477-0334
Autonomic neuroscience : basic & clinical,20451469,1872-7484
Women's health issues : official publication of the Jacobs Institute of Women's Health,20457404,1878-4321
"The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry",20479472,1089-4098
The Pediatric infectious disease journal,20517172,1532-0987
Aging & mental health,20544411,1364-6915
International journal of antimicrobial agents,20688484,1872-7913
Food and nutrition bulletin,20715594,0379-5721
Irish journal of medical science,21076975,1863-4362
PLoS genetics,21082022,1553-7404
Briefings in functional genomics,21436306,2041-2657
"European journal of cardiovascular prevention and rehabilitation : official journal of the European Society of Cardiology, Working Groups on Epidemiology & Prevention and Cardiac Rehabilitation and Exercise Physiology",21461366,1741-8275
Current topics in medicinal chemistry,21506930,1873-4294
Revista medica del Instituto Mexicano del Seguro Social,21513668,0443-5117
Journal of consulting and clinical psychology,21534652,1939-2117
"The Mount Sinai journal of medicine, New York",21598260,1931-7581
Briefings in bioinformatics,21690101,1477-4054
Nihon rinsho. Japanese journal of clinical medicine,21838028,0047-1852
Journal of nursing management,21899630,1365-2834
The Journal of trauma,21986741,1529-8809
Biomarkers in medicine,22003902,1752-0371
Canadian journal of public health = Revue canadienne de sante publique,22032107,0008-4263
"Journal of clinical neurology (Seoul, Korea)",22087204,2005-5013
"Tierarztliche Praxis. Ausgabe K, Kleintiere/Heimtiere",22143561,1434-1239
Przeglad epidemiologiczny,22184953,0033-2100
Oman medical journal,22253949,2070-5204
Alcohol research & health : the journal of the National Institute on Alcohol Abuse and Alcoholism,22330211,1930-0573
Annals of plastic surgery,22421487,1536-3708
Pain research & management,22518366,1203-6765
Asian journal of psychiatry,23051194,1876-2018
Journal of sports science & medicine,24149790,1303-2968
"Healthcare quarterly (Toronto, Ont.)",24956422,1929-6347
Irish journal of psychological medicine,30200016,2051-6967
International psychiatry : bulletin of the Board of International Affairs of the Royal College of Psychiatrists,31508028,1749-3676
European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,15925493,0924-977X
The Proceedings of the Nutrition Society,15960864,0029-6651
Academic medicine : journal of the Association of American Medical Colleges,15980086,1040-2446
Journal of toxicology and environmental health. Part A,16024504,1528-7394
Disability and rehabilitation,16025750,0963-8288
Journal of water and health,16075937,1477-8920
Epilepsy research,16125900,0920-1211
International journal of injury control and safety promotion,16156532,1745-7300
Journal of the American Academy of Child and Adolescent Psychiatry,16175102,0890-8567
Acta tropica,16202595,0001-706X
The Lancet. Infectious diseases,16253886,1473-3099
Public health,16263146,0033-3506
"Alcohol and alcoholism (Oxford, Oxfordshire)",16299108,0735-0414
American journal of industrial medicine,16299700,0271-3586
Journal of preventive medicine and public health = Yebang Uihakhoe chi,16315755,1975-8375
Annual review of nursing research,16350761,0739-6686
The journal of headache and pain,16388337,1129-2369
Seminars in fetal & neonatal medicine,16434246,1744-165X
Journal of hypertension,16467639,0263-6352
European journal of pharmacology,16473346,0014-2999
ANS. Advances in nursing science,16495684,0161-9268
Risk analysis : an official publication of the Society for Risk Analysis,16506971,0272-4332
Current opinion in infectious diseases,16514337,0951-7375
Health policy and planning,16533860,0268-1080
International journal of cancer,16557583,0020-7136
Bulletin of the World Health Organization,16583076,0042-9686
American journal of human genetics,16642436,0002-9297
Environmental health perspectives,16675433,0091-6765
The Medical journal of Australia,16719745,0025-729X
Environment international,16730796,0160-4120
European journal of public health,16751634,1101-1262
International journal of epidemiology,16845132,0300-5771
Schizophrenia research,16859895,0920-9964
European journal of radiology,16891083,0720-048X
Annals of tropical medicine and parasitology,16899150,0003-4983
Proceedings of the American Thoracic Society,16963547,1546-3222
"Epidemiology (Cambridge, Mass.)",16971860,1044-3983
Nursing times,16986591,0954-7762
Ugeskrift for laeger,16999883,1603-6824
Versicherungsmedizin,17002174,0933-4548
La Medicina del lavoro,17017364,0025-7818
"American journal of cardiovascular drugs : drugs, devices, and other interventions",17083263,1175-3277
Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,17125636,1022-386X
Drug and alcohol review,17132570,0959-5236
Calcified tissue international,17340222,0171-967X
Danish medical bulletin,17349218,1603-9629
Journal of epidemiology and community health,17372296,0143-005X
Emerging infectious diseases,17479887,1080-6040
Current psychiatry reports,17521518,1523-3812
Journal of autism and developmental disorders,17546489,0162-3257
"Neuropsychiatrie : Klinik, Diagnostik, Therapie und Rehabilitation : Organ der Gesellschaft Osterreichischer Nervenarzte und Psychiater",17555004,0948-6259
Journal of Korean medical science,17596664,1011-8934
International journal of methods in psychiatric research,17623386,1049-8931
International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,17765240,0020-7292
International journal of hygiene and environmental health,17869581,1438-4639
International journal of antimicrobial agents,17900874,0924-8579
The Journal of rheumatology,17918783,0315-162X
Journal of environmental health,17941401,0022-0892
Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit,17955778,1020-3397
"European journal of cardiovascular prevention and rehabilitation : official journal of the European Society of Cardiology, Working Groups on Epidemiology & Prevention and Cardiac Rehabilitation and Exercise Physiology",18043301,1741-8267
Accident; analysis and prevention,18215547,0001-4575
Injury prevention : journal of the International Society for Child and Adolescent Injury Prevention,18245308,1353-8047
World journal of surgery,18320267,0364-2313
Expert opinion on drug safety,18324873,1744-764X
"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",18345470,1436-9990
The Journal of clinical investigation,18382743,0021-9738
Australian and New Zealand journal of public health,18412680,1326-0200
Social psychiatry and psychiatric epidemiology,18473134,0933-7954
Health physics,18617799,1538-5159
International journal of health geographics,18724868,1476-072X
Epidemiologic reviews,18753674,0193-936X
The Pediatric infectious disease journal,18776823,0891-3668
International journal of chronic obstructive pulmonary disease,18990961,1176-9106
Revista medica de Chile,19194624,0034-9887
Statistics in medicine,19206088,0277-6715
The Lancet. Neurology,19233730,1474-4422
Physiological reviews,19342616,0031-9333
Water science and technology : a journal of the International Association on Water Pollution Research,19448309,0273-1223
Singapore medical journal,19495514,2737-5935
"Journal of Ayub Medical College, Abbottabad : JAMC",19610532,1025-9589
"Acta physiologica (Oxford, England)",19645752,1748-1716
Indian journal of psychiatry,20703393,1998-3794
MEDICC review,21487352,1555-7960
Sultan Qaboos University medical journal,21509269,2075-051X
European journal of trauma and emergency surgery : official publication of the European Trauma Society,26815969,1863-9933
World health statistics quarterly. Rapport trimestriel de statistiques sanitaires mondiales,8085367,0379-8070
Revista espanola de salud publica,8564858,1135-5727
Magnetic resonance in medicine,8892218,0740-3194
"Science (New York, N.Y.)",8966556,0036-8075
Comprehensive psychiatry,9056123,0010-440X
"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",9064808,0029-2001
"Lancet (London, England)",9142060,0140-6736
International journal of technology assessment in health care,9308270,0266-4623
Nature medicine,9809543,1078-8956
The British journal of psychiatry : the journal of mental science,9850224,0007-1250
"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",9870457,0931-0509
Preventive medicine,9922070,0091-7435
Health economics,10082139,1057-9230
"Clinical and experimental hypertension (New York, N.Y. : 1993)",10423080,1064-1963
Revista de saude publica,10576748,0034-8910
The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,10587316,1027-3719
Archives of neurology,10714674,0003-9942
Scandinavian journal of public health,10724471,1403-4948
American journal of public health,10754963,0090-0036
Journal of public health policy,10874398,0197-5897
Meditsinskaia parazitologiia i parazitarnye bolezni,10900908,0025-8326
Revista de investigacion clinica; organo del Hospital de Enfermedades de la Nutricion,10953611,0034-8376
Health care management science,10996972,1386-9620
Proceedings of the National Academy of Sciences of the United States of America,11027348,0027-8424
European archives of psychiatry and clinical neuroscience,11153962,0940-1334
Journal of public health medicine,11192280,0957-4832
Tropical medicine & international health : TM & IH,11251893,1360-2276
Parasitology,11386688,0031-1820
Reproductive health matters,11424258,0968-8080
"Sports medicine (Auckland, N.Z.)",11475318,0112-1642
The Journal of clinical psychiatry,11480881,0160-6689
European addiction research,11509844,1022-6877
Psychiatrische Praxis,11533901,0303-4259
"Reproduction, fertility, and development",11545183,1031-3613
Medscape women's health,11547269,1521-2076
The Australian and New Zealand journal of psychiatry,11551284,0004-8674
Current drug targets,11554557,1389-4501
Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace,11665507,1122-0643
Obesity research,11707546,1071-7323
Genome research,11731492,1088-9051
The National medical journal of India,11855595,0970-258X
Tobacco control,11891366,0964-4563
International journal of emergency mental health,12014290,1522-4821
Public health nutrition,12027289,1368-9800
Metabolism: clinical and experimental,12040542,0026-0495
Pathology,12109780,0031-3025
Psychopathology,12145501,0254-4962
Social science & medicine (1982),12188464,0277-9536
"Public health reports (Washington, D.C. : 1974)",12357003,0033-3549
"Psychiatric services (Washington, D.C.)",12556591,1075-2730
Chemosphere,12653292,0045-6535
Injury control and safety promotion,12772481,1566-0974
MMWR. Morbidity and mortality weekly report,12807081,0149-2195
The British journal of nutrition,12828799,0007-1145
European journal of epidemiology,12908716,0393-2990
The American journal of the medical sciences,12920437,0002-9629
"Addiction (Abingdon, England)",12930209,0965-2140
European journal of neurology,12940825,1351-5101
Transactions of the Royal Society of Tropical Medicine and Hygiene,14584362,0035-9203
Healthcare management forum,14618830,0840-4704
World Health Organization technical report series,14679827,0512-3054
Journal of clinical pharmacology,14681338,0091-2700
Investigative ophthalmology & visual science,14691156,0146-0404
Environmental research,14757375,0013-9351
British medical bulletin,14757707,0007-1420
International journal of STD & AIDS,14769164,0956-4624
Voprosy pitaniia,14870588,0042-8833
Journal of substance abuse treatment,15050088,0740-5472
"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",15085901,0962-9343
The Journal of nutrition,15113966,0022-3166
CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,15159365,0820-3946
Gaceta sanitaria,15324642,0213-9111
"Health policy (Amsterdam, Netherlands)",15364144,0168-8510
Clinics in dermatology,15475226,0738-081X
Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,15490120,0937-941X
Emergency medicine clinics of North America,15663974,0733-8627
"Annals of the Academy of Medicine, Singapore",15726227,0304-4602
Reviews on environmental health,15742671,0048-7554
Journal of health & social policy,15774349,0897-7186
"Current opinion in investigational drugs (London, England : 2000)",15816508,1472-4472
"Journal of public health (Oxford, England)",15820994,1741-3842
International journal of psychiatry in clinical practice,24927085,1365-1501
"Medicine (Abingdon, England : UK ed.)",32308534,1357-3039
