Journal,Publisher,ISSN,eISSN,IF,zky
Health Policy OPEN,ELSEVIER,N/A,2590-2296,1.7,4
INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING,SAGE PUBLICATIONS INC,0046-9580,1945-7243,1.7,4
EASTERN MEDITERRANEAN HEALTH JOURNAL,WHO EASTERN MEDITERRANEAN REGIONAL OFFICE,1020-3397,1687-1634,1.7,4
JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,LIPPINCOTT WILLIAMS & WILKINS,0894-1912,1554-558X,1.6,4
STATISTICAL METHODS IN MEDICAL RESEARCH,SAGE PUBLICATIONS LTD,0962-2802,1477-0334,1.6,3
Journal of Patient-Centered Research and Reviews,"AURORA HEALTH CARE, INC",2330-068X,2330-0698,1.6,4
Frontiers in Health Services,FRONTIERS MEDIA SA,N/A,2813-0146,1.6,4
Health Services and Outcomes Research Methodology,SPRINGER,1387-3741,1572-9400,1.6,4
Journal of Patient Experience,SAGE PUBLICATIONS INC,2374-3743,2374-3735,1.6,4
JOURNAL OF AMBULATORY CARE MANAGEMENT,LIPPINCOTT WILLIAMS & WILKINS,0148-9917,1550-3267,1.6,4
International Journal of Population Data Science (IJPDS),SWANSEA UNIV,N/A,2399-4908,1.6,4
Annali di Igiene Medicina Preventiva e di Comunita,SOC EDITRICE UNIV,1120-9135,1120-9135,1.5,4
CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,CAMBRIDGE UNIV PRESS,0963-1801,1469-2147,1.5,4
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH,SPRINGER,1094-3412,1556-3308,1.5,4
Gaceta Sanitaria,ELSEVIER,0213-9111,1578-1283,1.5,4
Operations Research for Health Care,ELSEVIER,2211-6923,2211-6923,1.5,4
JBI Evidence Synthesis,LIPPINCOTT WILLIAMS & WILKINS,N/A,2689-8381,1.5,4
American Journal of Hospice & Palliative Medicine,SAGE PUBLICATIONS INC,1049-9091,1938-2715,1.5,4
Telemedicine Reports,"MARY ANN LIEBERT, INC",N/A,2692-4366,1.5,4
IISE Transactions on Healthcare Systems Engineering,TAYLOR & FRANCIS LTD,2472-5579,2472-5587,1.5,4
Ethiopian Journal of Health Sciences,"JIMMA UNIV, ETHIOPIA",1029-1857,2413-7170,1.5,4
Value in Health Regional Issues,ELSEVIER,2212-1099,2212-1099,1.4,4
Australian Health Review,CSIRO PUBLISHING,0156-5788,1449-8944,1.4,4
BMJ Innovations,BMJ PUBLISHING GROUP,2055-8074,2055-642X,1.4,4
JMIR Research Protocols,"JMIR PUBLICATIONS, INC",1929-0748,1929-0748,1.4,4
TECHNOLOGY AND HEALTH CARE,IOS PRESS,0928-7329,1878-7401,1.4,4
American Health and Drug Benefits,ENGAGE HEALTHCARE COMMUNICATIONS INC,1942-2962,1942-2970,1.4,4
African Journal of Disability,AOSIS,2223-9170,2226-7220,1.3,4
BMJ Open Quality,BMJ PUBLISHING GROUP,N/A,2399-6641,1.3,4
METHODS OF INFORMATION IN MEDICINE,GEORG THIEME VERLAG KG,0026-1270,2511-705X,1.3,4
JOURNAL OF PALLIATIVE CARE,SAGE PUBLICATIONS INC,0825-8597,2369-5293,1.3,4
Journal of the American Association of Nurse Practitioners,LIPPINCOTT WILLIAMS & WILKINS,2327-6886,2327-6924,1.2,4
Australian Journal of Primary Health,CSIRO PUBLISHING,1448-7527,1836-7399,1.2,4
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,MOSBY-ELSEVIER,0161-4754,N/A,1.2,4
Families Systems & Health,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,1091-7527,1939-0602,1.2,4
Quality Management in Health Care,LIPPINCOTT WILLIAMS & WILKINS,1063-8628,1550-5154,1.2,4
Palliative Medicine Reports,"MARY ANN LIEBERT, INC",2689-2820,2689-2820,1.1,4
Journal of Healthcare Quality Research,ELSEVIER ESPANA SLU,N/A,2603-6479,1.1,4
Indian Journal of Palliative Care,SCIENTIFIC SCHOLAR LLC,0973-1075,1998-3735,1.1,4
Health SA Gesondheid,AOSIS,1025-9848,2071-9736,1.1,4
Geospatial Health,UNIV NAPLES FEDERICO II,1827-1987,1970-7096,1,4
AMERICAN JOURNAL OF MEDICAL QUALITY,LIPPINCOTT WILLIAMS & WILKINS,1062-8606,1555-824X,1,4
MEDICAL HISTORY,CAMBRIDGE UNIV PRESS,0025-7273,2048-8343,0.9,3
BULLETIN OF THE HISTORY OF MEDICINE,JOHNS HOPKINS UNIV PRESS,0007-5140,1086-3176,0.9,3
Journal for Healthcare Quality,LIPPINCOTT WILLIAMS & WILKINS,1062-2551,1945-1474,0.9,4
Journal of Health Research,"COLL PUBLIC HEALTH SCIENCES, CHULALONGKORN UNIV",0857-4421,2586-940X,0.9,4
JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,OXFORD UNIV PRESS INC,0022-5045,1468-4373,0.9,3
Professional Case Management,LIPPINCOTT WILLIAMS & WILKINS,1932-8087,1932-8095,0.8,4
Biomedical Human Kinetics,SCIENDO,0043-9630,2080-2234,0.8,4
Zeitschrift fur Palliativmedizin,GEORG THIEME VERLAG KG,1615-2921,1615-293X,0.7,4
Chronic Wound Care Management and Research,DOVE MEDICAL PRESS LTD,2324-481X,2324-481X,0.6,NA
Journal of Patient Safety and Risk Management,SAGE PUBLICATIONS LTD,2516-0435,2516-0443,0.6,4
Journal of Pharmaceutical Health Services Research,OXFORD UNIV PRESS,1759-8885,1759-8893,0.5,4
Internet Journal of Allied Health Sciences and Practice,NOVA SOUTHEASTERN UNIV,1540-580X,1540-580X,0.5,4
International Journal of Healthcare Technology and Management,INDERSCIENCE ENTERPRISES LTD,1368-2156,1741-5144,0.4,4
African Journal of Health Professions Education,HEALTH & MEDICAL PUBLISHING GROUP,2078-5127,2078-5127,0.4,4
Global & Regional Health Technology Assessment,ABOUTSCIENCE SRL,2284-2403,2283-5733,0.4,4
Farmeconomia-Health Economics and Therapeutic Pathways,SEED MEDICAL PUBLISHERS,1721-6915,2240-256X,0.4,4
Journal of Basic and Clinical Health Sciences,DOKUZ EYLUL UNIV INST HEALTH SCIENCES,2458-8938,2564-7288,0.3,4
Medycyna Paliatywna-Palliative Medicine,TERMEDIA PUBLISHING HOUSE LTD,2081-0016,2081-2833,0.3,4
Health Problems of Civilization,TERMEDIA PUBLISHING HOUSE LTD,2353-6942,2354-0265,0.2,4
Vigilancia Sanitaria em Debate-Sociedade Ciencia & Tecnologia,"FUNDACAO OSWALDO CRUZ, INST NACIONAL CONTROLE QUALIDADE & SAUDE",2317-269X,2317-269X,0.2,4
Healthcare in Low-resource Settings,PAGEPRESS PUBL,N/A,2281-7824,0.2,4
Medecine Palliative,ELSEVIER,1636-6522,2213-0098,0.2,4
Journal of the Liaquat University of Medical and Health Sciences,LIAQUAT UNIV MEDICAL & HEALTH SCIENCES - LUMHS,1729-0341,1729-0341,0.1,4
International journal of Health Medicine and Current Research-IJHMCR,INT JOURNAL HEALTH MEDICINE & CURRENT RESEARCH-IJHMCR,2528-4398,2528-3189,<0.1,4
International Journal of Social Determinants of Health and Health Services,SAGE PUBLICATIONS LTD,2755-1938,2755-1946,N/A,3
Forensic Science International-Genetics,ELSEVIER IRELAND LTD,1872-4973,1878-0326,3.2,2
REGULATORY TOXICOLOGY AND PHARMACOLOGY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0273-2300,1096-0295,3,3
Journal of Law and the Biosciences,OXFORD UNIV PRESS,2053-9711,2053-9711,2.5,2
INTERNATIONAL JOURNAL OF LEGAL MEDICINE,SPRINGER,0937-9827,1437-1596,2.2,3
Forensic Science International,ELSEVIER IRELAND LTD,0379-0738,1872-6283,2.2,3
Wiley Interdisciplinary Reviews: Forensic Science,WILEY,N/A,2573-9468,2.1,3
SCIENCE & JUSTICE,ELSEVIER SCI LTD,1355-0306,1876-4452,1.9,4
Medical Law Review,OXFORD UNIV PRESS,0967-0742,1464-3790,1.8,3
JOURNAL OF LAW MEDICINE & ETHICS,CAMBRIDGE UNIV PRESS,1073-1105,1748-720X,1.6,4
MEDICINE SCIENCE AND THE LAW,SAGE PUBLICATIONS INC,0025-8024,2042-1818,1.5,4
JOURNAL OF FORENSIC SCIENCES,WILEY,0022-1198,1556-4029,1.5,4
Forensic Science Medicine and Pathology,HUMANA PRESS INC,1547-769X,1556-2891,1.5,4
Forensic Sciences Research,OXFORD UNIV PRESS,2096-1790,2471-1411,1.4,4
Legal Medicine,ELSEVIER IRELAND LTD,1344-6223,1344-6223,1.3,4
Egyptian Journal of Forensic Sciences,INT ASSOC LAW & FORENSIC SCIENCES,2090-536X,2090-5939,1.3,4
Journal of Forensic and Legal Medicine,ELSEVIER SCI LTD,1752-928X,1532-2009,1.2,4
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,LIPPINCOTT WILLIAMS & WILKINS,0195-7910,1533-404X,1,4
Scandinavian Journal of Forensic Science,SCIENDO,2353-0707,2353-0707,1,3
Australian Journal of Forensic Sciences,TAYLOR & FRANCIS LTD,0045-0618,1834-562X,0.8,4
Rechtsmedizin,SPRINGER,0937-9819,1434-5196,0.4,4
International Journal of Medical Toxicology and Forensic Medicine,SHAHEED BEHESHTI MEDICAL UNIV-MEDICAL SCIENCES & HEALTH SERVICES,2251-8762,2251-8770,0.3,4
Canadian Society of Forensic Science Journal,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0008-5030,2332-1660,0.2,4
Medecine & Droit,"ELSEVIER MASSON, CORP OFF",1246-7391,1873-6475,0.1,4
AMERICAN JOURNAL OF BIOETHICS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1526-5161,1536-0075,17,1
JOURNAL OF MEDICAL ETHICS,BMJ PUBLISHING GROUP,0306-6800,1473-4257,3.3,2
BMC Medical Ethics,BMC,1472-6939,1472-6939,3,1
Accountability in Research-Ethics Integrity and Policy,TAYLOR & FRANCIS INC,0898-9621,1545-5815,2.8,2
Neuroethics,SPRINGER,1874-5490,1874-5504,2.6,3
Journal of Law and the Biosciences,OXFORD UNIV PRESS,2053-9711,2053-9711,2.5,2
HASTINGS CENTER REPORT,WILEY,0093-0334,1552-146X,2.3,3
Research Ethics,SAGE PUBLICATIONS INC,1747-0161,2047-6094,2.1,2
Journal of Bioethical Inquiry,SPRINGER,1176-7529,1872-4353,1.8,4
Philosophy Ethics and Humanities in Medicine,BMC,1747-5341,1747-5341,1.7,4
BIOETHICS,WILEY,0269-9702,1467-8519,1.7,3
Journal of Empirical Research on Human Research Ethics,SAGE PUBLICATIONS INC,1556-2646,1556-2654,1.7,3
JOURNAL OF LAW MEDICINE & ETHICS,CAMBRIDGE UNIV PRESS,1073-1105,1748-720X,1.6,4
Public Health Ethics,OXFORD UNIV PRESS,1754-9973,1754-9981,1.4,4
New Bioethics-A Multidisciplinary Journal of Biotechnology and the Body,TAYLOR & FRANCIS LTD,2050-2877,2050-2885,1.4,3
Asian Bioethics Review,SPRINGER,1793-8759,1793-9453,1.3,3
Developing World Bioethics,WILEY,1471-8731,1471-8847,0.9,4
Journal of Medical Ethics and History of Medicine,TEHRAN UNIV MEDICAL SCIENCES PUBL,2008-0387,2008-0387,0.9,4
South African Journal of Bioethics and Law,HEALTH & MEDICAL PUBLISHING GROUP,1999-7639,1999-7639,0.5,4
Ethik in der Medizin,SPRINGER,0935-7335,1437-1618,0.5,4
Acta Bioethica,"UNIV CHILE, CENTRO INTERDISCIPLINARIO ESTUDIOS BIOETICA",0717-5906,1726-569X,0.5,4
Linacre Quarterly,SAGE PUBLICATIONS INC,0024-3639,2050-8549,0.4,4
Canadian Journal of Bioethics-Revue Canadienne de Bioethique,"UNIV MONTREAL, PROGRAMMES BIOETHIQUE",N/A,2561-4665,0.3,4
CLINICAL CHEMISTRY,OXFORD UNIV PRESS INC,0009-9147,1530-8561,7.1,2
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,TAYLOR & FRANCIS LTD,1040-8363,1549-781X,6.6,2
Translational Research,ELSEVIER SCIENCE INC,1931-5244,1878-1810,6.4,2
Annals of Laboratory Medicine,KOREAN SOC LABORATORY MEDICINE,2234-3806,2234-3814,4,2
PHARMACEUTICAL BIOLOGY,TAYLOR & FRANCIS LTD,1388-0209,1744-5116,3.9,3
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,WALTER DE GRUYTER GMBH,1434-6621,1437-4331,3.8,2
Biochemia Medica,CROATIAN SOC MEDICAL BIOCHEMISTRY & LABORATORY MEDICINE,1330-0962,1846-7482,3.8,4
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,COLL AMER PATHOLOGISTS,0003-9985,1543-2165,3.7,3
CLINICA CHIMICA ACTA,ELSEVIER,0009-8981,1873-3492,3.2,3
Journal of Mass Spectrometry and Advances in the Clinical Lab,ELSEVIER,2667-1468,2667-145X,3.1,2
SEMINARS IN DIAGNOSTIC PATHOLOGY,W B SAUNDERS CO-ELSEVIER INC,0740-2570,1930-1111,2.9,3
THERAPEUTIC DRUG MONITORING,LIPPINCOTT WILLIAMS & WILKINS,0163-4356,1536-3694,2.8,4
BRITISH JOURNAL OF BIOMEDICAL SCIENCE,FRONTIERS MEDIA SA,0967-4845,2474-0896,2.7,4
JOURNAL OF CLINICAL LABORATORY ANALYSIS,WILEY,0887-8013,1098-2825,2.6,4
CLINICAL BIOCHEMISTRY,PERGAMON-ELSEVIER SCIENCE LTD,0009-9120,1873-2933,2.5,3
CYTOMETRY PART B-CLINICAL CYTOMETRY,WILEY,1552-4949,1552-4957,2.3,4
ANNALS OF CLINICAL BIOCHEMISTRY,SAGE PUBLICATIONS INC,0004-5632,1758-1001,2.1,4
Journal of Applied Laboratory Medicine,OXFORD UNIV PRESS INC,2576-9456,2475-7241,1.8,4
Practical Laboratory Medicine,ELSEVIER,N/A,2352-5517,1.7,4
CLINICS IN LABORATORY MEDICINE,W B SAUNDERS CO-ELSEVIER INC,0272-2712,1557-9832,1.7,4
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,LIPPINCOTT WILLIAMS & WILKINS,1541-2016,1533-4058,1.5,4
Biopreservation and Biobanking,"MARY ANN LIEBERT, INC",1947-5535,1947-5543,1.2,4
ANNALS OF CLINICAL AND LABORATORY SCIENCE,ASSOC CLINICAL SCIENTISTS,0091-7370,1550-8080,1.1,4
Journal of Laboratory Medicine,WALTER DE GRUYTER GMBH,2567-9430,2567-9449,1.1,4
Advances in Laboratory Medicine-Avances en Medicina de Laboratorio,WALTER DE GRUYTER GMBH,N/A,2628-491X,1.1,4
LABORATORY MEDICINE,OXFORD UNIV PRESS,0007-5027,1943-7730,1,4
DIAGNOSTIC CYTOPATHOLOGY,WILEY,8755-1039,1097-0339,1,4
Journal of Cytology,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0970-9371,0974-5165,1,4
Clinical Laboratory,CLIN LAB PUBL,1433-6510,1433-6510,0.7,4
ANNALES DE BIOLOGIE CLINIQUE,JOHN LIBBEY EUROTEXT LTD,0003-3898,1950-6112,0.4,4
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES,0325-2957,1851-6114,0.1,4
Lancet Digital Health,ELSEVIER,N/A,2589-7500,23.8,1
npj Digital Medicine,NATURE PORTFOLIO,2398-6352,2398-6352,12.4,1
IEEE Journal of Biomedical and Health Informatics,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2168-2194,2168-2208,6.7,2
Artificial Intelligence in Medicine,ELSEVIER,0933-3657,1873-2860,6.1,2
JOURNAL OF MEDICAL INTERNET RESEARCH,"JMIR PUBLICATIONS, INC",1438-8871,N/A,5.8,2
Journal of Healthcare Informatics Research,SPRINGERNATURE,2509-4971,2509-498X,5.4,4
JMIR mHealth and uHealth,"JMIR PUBLICATIONS, INC",2291-5222,2291-5222,5.4,2
JMIR Aging,"JMIR PUBLICATIONS, INC",N/A,2561-7605,5,2
Computer Methods and Programs in Biomedicine,ELSEVIER IRELAND LTD,0169-2607,1872-7565,4.9,2
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,OXFORD UNIV PRESS,1067-5027,1527-974X,4.7,2
Health Information Science and Systems,SPRINGER,2047-2501,2047-2501,4.7,2
Intelligent Medicine,ELSEVIER,2667-1026,2667-1026,4.4,4
BMJ Health & Care Informatics,BMJ PUBLISHING GROUP,N/A,2632-1009,4.1,3
JOURNAL OF BIOMEDICAL INFORMATICS,ACADEMIC PRESS INC ELSEVIER SCIENCE,1532-0464,1532-0480,4,2
JMIR Serious Games,"JMIR PUBLICATIONS, INC",2291-9279,2291-9279,3.8,2
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,ELSEVIER IRELAND LTD,1386-5056,1872-8243,3.7,2
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,ELSEVIER,N/A,2214-7829,3.6,2
JOURNAL OF MEDICAL SYSTEMS,SPRINGER,0148-5598,1573-689X,3.5,3
BMC Medical Informatics and Decision Making,BMC,N/A,1472-6947,3.3,3
Frontiers in Digital Health,FRONTIERS MEDIA SA,N/A,2673-253X,3.2,3
JMIR Medical Informatics,"JMIR PUBLICATIONS, INC",N/A,2291-9694,3.2,3
MEDICAL DECISION MAKING,SAGE PUBLICATIONS INC,0272-989X,1552-681X,3.1,3
Health and Technology,SPRINGER HEIDELBERG,2190-7188,2190-7196,3.1,4
Digital Health,SAGE PUBLICATIONS LTD,2055-2076,2055-2076,2.9,3
Health Information Management Journal,SAGE PUBLICATIONS INC,1833-3583,1833-3575,2.7,4
JMIR Human Factors,"JMIR PUBLICATIONS, INC",2292-9495,2292-9495,2.6,3
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,SPRINGER HEIDELBERG,0140-0118,1741-0444,2.6,4
INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,CAMBRIDGE UNIV PRESS,0266-4623,1471-6348,2.6,4
JAMIA Open,OXFORD UNIV PRESS,N/A,2574-2531,2.5,3
Informatics for Health & Social Care,TAYLOR & FRANCIS INC,1753-8157,1753-8165,2.5,4
Healthcare Informatics Research,KOREAN SOC MEDICAL INFORMATICS,2093-3681,2093-369X,2.3,4
Health Informatics Journal,SAGE PUBLICATIONS INC,1460-4582,1741-2811,2.2,3
mHealth,AME PUBLISHING COMPANY,N/A,2306-9740,2.2,4
JOURNAL OF EVALUATION IN CLINICAL PRACTICE,WILEY,1356-1294,1365-2753,2.1,4
Applied Clinical Informatics,GEORG THIEME VERLAG KG,1869-0327,1869-0327,2.1,3
JMIR Formative Research,"JMIR PUBLICATIONS, INC",N/A,2561-326X,2,4
Therapeutic Innovation & Regulatory Science,SPRINGER HEIDELBERG,2168-4790,2168-4804,2,4
STATISTICS IN MEDICINE,WILEY,0277-6715,1097-0258,1.8,3
STATISTICAL METHODS IN MEDICAL RESEARCH,SAGE PUBLICATIONS LTD,0962-2802,1477-0334,1.6,3
METHODS OF INFORMATION IN MEDICINE,GEORG THIEME VERLAG KG,0026-1270,2511-705X,1.3,4
CIN-COMPUTERS INFORMATICS NURSING,LIPPINCOTT WILLIAMS & WILKINS,1538-2931,1538-9774,1.3,4
International Journal of E-Health and Medical Communications,IGI GLOBAL,1947-315X,1947-3168,1.3,4
Biomedical Engineering-Biomedizinische Technik,WALTER DE GRUYTER GMBH,0013-5585,1862-278X,1.3,4
International Journal of Healthcare Information Systems and Informatics,IGI GLOBAL,1555-3396,1555-340X,0.9,4
NATURE MEDICINE,NATURE PORTFOLIO,1078-8956,1546-170X,58.7,1
Science Translational Medicine,AMER ASSOC ADVANCEMENT SCIENCE,1946-6234,1946-6242,15.8,1
Annual Review of Medicine,ANNUAL REVIEWS,0066-4219,1545-326X,15.1,1
JOURNAL OF CLINICAL INVESTIGATION,AMER SOC CLINICAL INVESTIGATION INC,0021-9738,1558-8238,13.3,1
Med,CELL PRESS,2666-6340,2666-6340,12.8,1
JOURNAL OF EXPERIMENTAL MEDICINE,ROCKEFELLER UNIV PRESS,0022-1007,1540-9538,12.8,1
TRENDS IN MOLECULAR MEDICINE,CELL PRESS,1471-4914,1471-499X,12.8,1
Theranostics,IVYSPRING INT PUBL,1838-7640,1838-7640,12.4,1
MOLECULAR THERAPY,CELL PRESS,1525-0016,1525-0024,12.1,1
Cell Reports Medicine,CELL PRESS,2666-3791,2666-3791,11.7,1
MedComm,WILEY,N/A,2688-2663,10.7,1
EBioMedicine,ELSEVIER,2352-3964,2352-3964,9.7,1
EXPERIMENTAL AND MOLECULAR MEDICINE,SPRINGERNATURE,1226-3613,2092-6413,9.5,1
Biomarker Research,BMC,N/A,2050-7771,9.5,2
EMBO Molecular Medicine,WILEY,1757-4676,1757-4684,9,1
JOURNAL OF BIOMEDICAL SCIENCE,BMC,1021-7770,1423-0127,9,1
MOLECULAR ASPECTS OF MEDICINE,ELSEVIER,0098-2997,1872-9452,8.7,2
Clinical and Translational Medicine,JOHN WILEY & SONS LTD,2001-1326,2001-1326,7.9,2
Cold Spring Harbor Perspectives in Medicine,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",2157-1422,2157-1422,7.8,2
Stem Cell Research & Therapy,BMC,N/A,1757-6512,7.1,2
npj Vaccines,NATURE PORTFOLIO,N/A,2059-0105,7,2
BIOMEDICINE & PHARMACOTHERAPY,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,0753-3322,1950-6007,6.9,2
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,WILEY,1939-5116,1939-0041,6.9,2
CLINICAL SCIENCE,PORTLAND PRESS LTD,0143-5221,1470-8736,6.7,2
Molecular Therapy Nucleic Acids,CELL PRESS,2162-2531,2162-2531,6.5,2
Translational Research,ELSEVIER SCIENCE INC,1931-5244,1878-1810,6.4,2
JCI Insight,AMER SOC CLINICAL INVESTIGATION INC,N/A,2379-3708,6.3,1
Molecular Biomedicine,SPRINGERNATURE,N/A,2662-8651,6.3,2
Journal of Translational Medicine,BMC,N/A,1479-5876,6.1,2
EPMA Journal,SPRINGER INT PUBL AG,1878-5077,1878-5085,6,2
MOLECULAR MEDICINE,SPRINGER,1076-1551,1528-3658,6,2
Drug Delivery and Translational Research,SPRINGER HEIDELBERG,2190-393X,2190-3948,5.7,3
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,SPANDIDOS PUBL LTD,1107-3756,1791-244X,5.7,2
mAbs,TAYLOR & FRANCIS INC,1942-0862,1942-0870,5.6,2
Cancer Biology & Medicine,CHINA ANTI-CANCER ASSOC,2095-3941,2095-3941,5.6,2
Communications Medicine,SPRINGERNATURE,2730-664X,2730-664X,5.4,2
Molecular Therapy Oncolytics,CELL PRESS,2372-7705,2372-7705,5.3,2
Biologics-Targets & Therapy,DOVE MEDICAL PRESS LTD,1177-5475,1177-5491,5.3,3
LIFE SCIENCES,PERGAMON-ELSEVIER SCIENCE LTD,0024-3205,1879-0631,5.2,3
Vaccines,MDPI,N/A,2076-393X,5.2,3
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,TAYLOR & FRANCIS LTD,1350-6129,1744-2818,5.2,2
LABORATORY INVESTIGATION,ELSEVIER SCIENCE INC,0023-6837,1530-0307,5.1,2
Precision Clinical Medicine,OXFORD UNIV PRESS,2096-5303,2516-1571,5.1,2
Inflammation and Regeneration,BMC,N/A,1880-8190,5,3
CANCER GENE THERAPY,SPRINGERNATURE,0929-1903,1476-5500,4.8,3
JOURNAL OF MOLECULAR MEDICINE-JMM,SPRINGER HEIDELBERG,0946-2716,1432-1440,4.8,3
ARCHIVES OF MEDICAL RESEARCH,ELSEVIER SCIENCE INC,0188-4409,1873-5487,4.7,4
Journal of Zhejiang University-SCIENCE B,ZHEJIANG UNIV PRESS,1673-1581,1862-1783,4.7,2
Molecular Therapy Methods & Clinical Development,CELL PRESS,N/A,2329-0501,4.6,2
GENE THERAPY,SPRINGERNATURE,0969-7128,1476-5462,4.6,3
WIREs Mechanisms of Disease,WILEY,2692-9368,2692-9368,4.6,2
ALTEX-Alternatives to Animal Experimentation,SPEKTRUM AKADEMISCHER VERLAG-SPRINGER-VERLAG GMBH,1868-596X,1868-8551,4.5,2
MOLECULAR PHARMACEUTICS,AMER CHEMICAL SOC,1543-8384,1543-8392,4.5,2
Vaccine,ELSEVIER SCI LTD,0264-410X,1873-2518,4.5,3
Stem Cell Reviews and Reports,SPRINGER,2629-3269,2629-3277,4.5,3
EXPERT REVIEWS IN MOLECULAR MEDICINE,CAMBRIDGE UNIV PRESS,1462-3994,1462-3994,4.5,3
EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,WILEY,0014-2972,1365-2362,4.4,3
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,WILEY,1582-1838,1582-4934,4.3,3
World Journal of Traditional Chinese Medicine,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2311-8571,2589-2894,4.3,2
JOURNAL OF INHERITED METABOLIC DISEASE,WILEY,0141-8955,1573-2665,4.2,2
Nanomedicine-Nanotechnology Biology and Medicine,ELSEVIER,1549-9634,1549-9642,4.2,3
HUMAN GENE THERAPY,"MARY ANN LIEBERT, INC",1043-0342,1557-7422,4.1,3
Biomedical Journal,ELSEVIER,2319-4170,2320-2890,4.1,3
Nucleic Acid Therapeutics,"MARY ANN LIEBERT, INC",2159-3337,2159-3345,4,2
Biomedicines,MDPI,N/A,2227-9059,3.9,3
Frontiers of Medicine,SPRINGER,2095-0217,2095-0225,3.9,2
WOUND REPAIR AND REGENERATION,WILEY,1067-1927,1524-475X,3.8,3
Animal Models and Experimental Medicine,WILEY,2096-5451,2576-2095,3.8,2
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,COLL AMER PATHOLOGISTS,0003-9985,1543-2165,3.7,3
CYTOTHERAPY,ELSEVIER SCI LTD,1465-3249,1477-2566,3.7,3
MOLECULAR GENETICS AND METABOLISM,ACADEMIC PRESS INC ELSEVIER SCIENCE,1096-7192,1096-7206,3.7,2
Journal of Diabetes Research,HINDAWI LTD,2314-6745,2314-6753,3.6,3
EXPERT OPINION ON BIOLOGICAL THERAPY,TAYLOR & FRANCIS LTD,1471-2598,1744-7682,3.6,3
Tissue Barriers,TAYLOR & FRANCIS INC,2168-8370,2168-8370,3.6,4
PPAR Research,HINDAWI LTD,1687-4757,1687-4765,3.5,3
Orphanet Journal of Rare Diseases,BMC,N/A,1750-1172,3.4,2
ADVANCES IN THERAPY,SPRINGER,0741-238X,1865-8652,3.4,3
Molecular Medicine Reports,SPANDIDOS PUBL LTD,1791-2997,1791-3004,3.4,4
Biomarker Insights,SAGE PUBLICATIONS LTD,1177-2719,1177-2719,3.4,3
XENOTRANSPLANTATION,WILEY,0908-665X,1399-3089,3.3,4
JOURNAL OF IMMUNOTHERAPY,LIPPINCOTT WILLIAMS & WILKINS,1524-9557,1537-4513,3.2,4
Current Research in Translational Medicine,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,2452-3186,2452-3186,3.2,4
CELL TRANSPLANTATION,SAGE PUBLICATIONS INC,0963-6897,1555-3892,3.2,4
JOURNAL OF GENE MEDICINE,WILEY,1099-498X,1521-2254,3.2,4
NEUROMODULATION,ELSEVIER,1094-7159,1525-1403,3.2,3
CLINICAL AND EXPERIMENTAL MEDICINE,SPRINGER-VERLAG ITALIA SRL,1591-8890,1591-9528,3.2,4
CTS-Clinical and Translational Science,WILEY,1752-8054,1752-8062,3.1,3
